Close,SMA20,SMA50,SMA200,Volume,Cumulative_Market,Cumulative_Strategy,Date
AAPL,,,,AAPL,,,
117.70417785644531,111.89745826721192,114.00747512817382,86.17618604660034,112559200,1.6186819066964357,1.0,2020-10-15
116.05624389648438,112.49129257202148,114.1112742614746,86.39288694381713,115393800,1.596019322130638,0.9859993588165511,2020-10-16
113.09195709228516,112.7789478302002,114.20620025634766,86.59830118179322,120639300,1.555254096090248,0.9608151482117709,2020-10-19
114.5838394165039,113.05685081481934,114.29946792602539,86.80830587387085,124423700,1.5757706399301645,0.9734899941806054,2020-10-20
113.95979309082031,113.53221168518067,114.44563568115234,87.01689706802368,89946000,1.5671886803538748,0.9681881745082002,2020-10-21
112.86767578125,113.89933586120605,114.49907073974609,87.2142172050476,101988000,1.5521697527237315,0.9589096821941696,2020-10-22
112.17536163330078,114.03389930725098,114.49965576171876,87.40027994155884,82572600,1.5426489659050842,0.9530278676268602,2020-10-23
112.18511199951172,114.03828735351563,114.50243453979492,87.58554414749146,111850700,1.5427830541053225,0.9531107055208797,2020-10-26
113.69654083251953,114.16066398620606,114.54129257202149,87.77033983230591,92276800,1.5635684038677826,0.965951616188054,2020-10-27
108.43098449707031,113.93590393066407,114.45621536254883,87.93398862838745,143937800,1.4911558444828676,0.9212161069534437,2020-10-28
112.4483871459961,113.86423416137696,114.44865844726563,88.11934659957886,146129200,1.5464036453524475,0.955347458296176,2020-10-29
106.14925384521484,113.66141357421876,114.26504745483399,88.26848779678345,190272600,1.459777212140542,0.9018308082035699,2020-10-30
106.06149291992188,113.28453826904297,113.96081634521484,88.4129654121399,122866900,1.4585703134180519,0.9010852023390099,2020-11-02
107.68991088867188,113.15192489624023,113.66014465332032,88.56819993972778,107624400,1.4809645117426837,0.9149200380976527,2020-11-03
112.08760070800781,113.14558639526368,113.46756240844726,88.74405496597291,138235500,1.5414420671825937,0.9522822617622999,2020-11-04
116.06602478027344,113.34353218078613,113.32144409179688,88.93795011520386,126387100,1.5961538300122533,0.9860824559841039,2020-11-05
115.93412780761719,113.43737297058105,113.20218490600585,89.13229948043823,114457900,1.5943399670969787,0.9849618757714192,2020-11-06
113.61918640136719,113.05321769714355,113.04057556152344,89.32640455245972,154515300,1.5625046164951557,0.9652944225984881,2020-11-09
113.27729034423828,112.81285858154297,112.78958633422852,89.50822019577026,138023400,1.557802821098221,0.9623897163819773,2020-11-10
116.71556091308594,112.74002609252929,112.50712265014648,89.69917718887329,112295000,1.6050863284594323,0.9916008338755385,2020-11-11
116.44207000732422,112.67692070007324,112.27340484619141,89.88933572769164,103162300,1.6013252488710559,0.9892772892848336,2020-11-12
116.49092864990234,112.69865493774414,112.24582473754883,90.09712167739868,81581900,1.6019971587570705,0.9896923862122997,2020-11-13
117.50676727294922,112.91939544677734,112.23700088500976,90.31101568222046,91183000,1.615967092783158,0.9983228243288279,2020-11-16
116.61788940429688,113.02109794616699,112.36914596557617,90.50813009262085,74271000,1.6037431382094705,0.9907710289309072,2020-11-17
115.28946685791016,113.08758163452148,112.38696319580077,90.69545492172242,76322100,1.5854745127499195,0.9794849168269946,2020-11-18
115.88529968261719,113.23846282958985,112.49139022827148,90.88120748519897,74113000,1.5936684768923426,0.9845470381174871,2020-11-19
114.6155014038086,113.36046981811523,112.5994790649414,91.06596223831177,73604300,1.5762060593597333,0.9737589904718269,2020-11-20
111.20652770996094,113.3115406036377,112.57386169433593,91.23182764053345,127959300,1.529325446121304,0.944796775570625,2020-11-23
